Protein,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
Q9UI09,3,0.0001646,4.47E-06,0.242215407,0.000406916
Q6PL45,39,0.0021398,0.000113453,0.262074635,0.001157857
Q4VBE4,1,5.49E-05,0,0.17190925,1.11E-07
Q6Q0C0,4,0.000219467,0.000111318,0.233264827,0.00011193
Q9ERK0,1,5.49E-05,0,0.18849079,1.42E-06
Q6Q4G3,2,0.000109733,1.51E-07,0.263153826,0.001635955
Q9BQE4,3,0.0001646,0.000110134,0.20795838,8.83E-06
Q6QNY0,1,5.49E-05,0,0.221039152,8.36E-05
Q6RFH5,1,5.49E-05,0,0.227285457,0.000111205
Q96DR5,3,0.0001646,1.48E-07,0.234538087,0.000226343
Q9UIF7-3,1,5.49E-05,0,0.233295793,0.00011421
Q9UKL6,1,5.49E-05,0,0.233295793,0.00011421
Q9UKF7,17,0.000932733,4.47E-05,0.25405778,0.000665493
O60225,6,0.0003292,3.64E-06,0.260447253,0.001271469
Q7L1H2,1,5.49E-05,0,0.233295793,0.00011421
P09093,2,0.000109733,0,0.233305085,0.0002006
A0A0S2Z3E9,1,5.49E-05,0,0.233295793,0.00011421
Q9NVS9,6,0.0003292,9.44E-06,0.243184054,0.00043353
A8MRB1,5,0.000274333,1.78E-06,0.247391343,0.000297185
Q9Y2Z4,3,0.0001646,1.94E-06,0.244769197,0.000412943
Q6STE5,1,5.49E-05,0,0.219476706,2.18E-05
Q6SZW1,3,0.0001646,0.000107844,0.220103437,4.22E-05
Q6SZW1-1,1,5.49E-05,0,0.179802935,5.35E-07
Q6UB28,1,5.49E-05,0,5.49E-05,3.26E-31
Q2TBC4,1,5.49E-05,0,5.49E-05,3.26E-31
Q6ULP2,1,5.49E-05,0,0.185308731,7.06E-07
Q9UMZ2,2,0.000109733,0.000107752,0.228410954,5.57E-05
Q8N1Q1,3,0.0001646,4.80E-07,0.218698294,0.000110461
Q86WB0,5,0.000274333,0.000112623,0.273814135,0.001692355
Q6UW56,3,0.0001646,2.26E-06,0.228446584,6.92E-05
Q92832,2,0.000109733,1.20E-05,0.257365398,0.000956486
P56959,1,5.49E-05,0,0.215467237,1.94E-05
Q6ZN84,1,5.49E-05,0,0.207597264,1.27E-05
Q6UWI2,1,5.49E-05,0,0.2436088,0.00026823
Q6UWP2,1,5.49E-05,0,0.201226771,5.80E-06
Q6UWP7,3,0.0001646,4.90E-06,0.272126646,0.002205625
Q6UWU4,1,5.49E-05,0,0.230363082,7.74E-05
Q6UX04,1,5.49E-05,0,0.22760042,0.000141789
Q9HBJ8,3,0.0001646,4.36E-07,0.226412848,8.39E-05
